,name,position,party,funding,image,Website,Donations,Facebook,Twitter,LinkedIn,YouTube,Biography,Statement
0,Kari Lake,Governor,Republican,Traditional Funding,View Info,https://www.karilake.com,https://www.karilake.com/donate,https://www.facebook.com/TheKariLake,https://twitter.com/KariLake,https://www.instagram.com/karilake/,https://www.youtube.com/channel/UCakn6ZCwlFA6Ct6XSU-HmtQ,"Kari Lake is a mother, a small business owner, a Christian and a former journalist who covered Arizona for 27 years. She left her lucrative career as the top-rated anchor to protest propaganda replacing journalism. She's running on a platform of common-sense conservatism dedicated to individual liberties, rooting out corruption, defending the border and protecting Arizona's great Western heritage. She is a voice for the silent majority suffering at the hands of cancel culture.","Kari Lake is the youngest of nine, the daughter of a school teacher and a nurse. After hosting the nightly news for the top-rated show in Arizona for the last 27 years, Kari stepped down to run for Governor. Kari is dedicated to taking on the biggest challenges facing Arizona: —securing our border with Mexico— tackling the crime wave sweeping our state— fighting inflation— and ensuring our kids have the best educational opportunities— including the chance to graduate high school with a career certificate  or technical degree so they can go directly into high paying, great careers. Kari is also committed to addressing our homelessness crisis, and supplying Arizona with a new, sustainable source of fresh-water. Arizona needs a transformational leader who can take these and our many other challenges head-on. Kari Lake is that leader. "
1,Katie Hobbs,Governor,Democratic,Traditional Funding,View Info,https://www.katiehobbs.org,,,,,,,"Born and raised right here in the Grand Canyon State, Secretary of State Katie Hobbs has dedicated her life to solving difficult challenges for Arizonans. In her time as a social worker and running a domestic violence shelter, Katie saw firsthand the price Arizonans pay when their elected leaders fail to address the problems people are facing day in and day out. Frustrated with the lack of leadership, Katie decided to run for office herself, and she used her experience as a social worker to take on Arizona’s toughest challenges. In the legislature, Katie worked with two Republican governors to provide healthcare for hundreds of thousands of Arizonans and to hold criminals accountable by clearing the rape kit backlog. As Secretary of State during the 2020 election, Katie’s office conducted the safest and most secure election in our state’s history amid unprecedented challenges to our democracy. Katie has never backed down from a tough fight, and she is a battle-tested leader with the strength and experience to get the job done. Now Katie’s running for governor to deliver real results for everyday Arizonans and finally bring the leadership required to solve the most urgent issues Arizona faces today. "
2,Adrian Fontes,Secretary of State,Democratic,Traditional Funding,View Info,https://www.electfontes.com,,https://www.facebook.com/ElectFontes,https://www.twitter.com/Adrian_Fontes,https://www.linkedin.com/in/adrianfontes/,https://www.youtube.com/channel/UC8XRz9Mt3oXkjlJWWvcrnbw,"Adrian Fontes is a proud Arizona native, an honorable veteran of the United States Marine Corps, and father to three daughters who has spent a lifetime fighting for justice and defending our Democracy. Most recently, Adrian Fontes served as the Maricopa County Recorder from 2016-2020 and worked tirelessly to secure elections for all Arizona voters. He is the steady, bipartisan candidate needed in the office of the Arizona Secretary of State. Read more about Adrian at electfontes.com/about/.","Adrian Fontes is a proud Arizona native, an honorable veteran of the United States Marine Corps, and father to three daughters who has spent a lifetime fighting for justice and defending our Democracy. In his 15 years as an attorney, Adrian served at the Maricopa County Attorney’s office and the Arizona Attorney General’s Office before being elected as Maricopa County Recorder in 2016. As Recorder, Adrian revolutionized the election system by ensuring that every eligible Maricopa County voter has access to the ballot box. Adrian enhanced ballot tracking technology and increased process transparency, winning recognition from election organizations across the country.In 2020, at the height of the Covid-19 crisis and Trump-fueled conspiracies, Maricopa County saw record voter turnout and voter registration for both parties. Adrian later testified before Congress about threats facing election officials.Adrian Fontes will stand up to the lies. He is committed to preserving integrity in our elections, increasing transparency in politics, making voting easier for registered voters, and ensuring a partner in the Secretary's office for Arizona's business community. Adrian Fontes is a steady, bipartisan candidate with the certifications, experience, and dedication to the Constitution necessary to do the job of Arizona Secretary of State."
3,Mark Finchem,Secretary of State,Republican,Traditional Funding,View Info,https://VoteFinchem.com,https://VoteFinchem.com/donate,,,,,"Mark Finchem was born in Michigan, and grew up in Kalamazoo MI. He served 21-years with the Kalamazoo Department of Public Safety, first as a firefighter/paramedic, then as a law enforcement officer. Living in rural Michigan he farmed and ranched, until he retired and moved to Tucson, AZ. Mark was elected to the Arizona State House of Representatives in 2014, and served 8 years. He holds a BA from Grand Canyon University, and a MA from University of Arizona, Rogers Law School.","I am running for Secretary of State because elections belong to the People, not the government, but it seems that many elected officials and government bureaucrats have forgotten that. I’ve led the effort to audit election records just like we audit financial records. I’ve spoken up for disenfranchised voters and the rule of law, and I’ve delivered solutions like watermarks on ballots, an audit trail for legitimate ballot documents, and post-election visibility of your ballot as it was cast. Consent of the governed goes with the right to inspect the results. I will ensure that this right is protected to the fullest extent possible. Every legal ballot should be counted, voter rolls must be cleaned up and those who cheat must face consequences for their acts. I will ensure complete transparency of the vote-counting process and see to it that reports of irregularities and discrepancies are reviewed and where there is evidence of wrongdoing, referred to the Attorney General for appropriate action. Elections award power, and as your next Secretary of State, I will see to it that the laws on the books are followed. I will protect your voting rights. Vote for election integrity, vote Mark Finchem."
4,Abraham Hamadeh,Attorney General,Republican,Traditional Funding,View Info,www.abeforag.com,,,,,,,"I’m a first generation American who has dedicated my life to defending freedom. As a prosecutor, I’ve defended the rule of law and put criminals away. As a U.S. Army Captain and Intelligence Officer, I know the threats facing our state and nation. When I got back from my deployment in the Middle East last year, I no longer recognized our country. I'm running for Attorney General to RESTORE law and order. As Attorney General, I will punish criminals and scammers who prey on the vulnerable. I will go after the cartels who are poisoning our communities with violence and drugs. I will ensure our elections are free, fair, and without fraud. I will hold the federal government accountable when they violate our sovereignty and security. The battle for freedom is more critical than ever and Arizonans deserve an Attorney General who will rise above partisan politics, defend the rule of law, and hold the powerful accountable. Arizona needs an Attorney General who will stand with law enforcement and support the police, and that's why I'm honored to have the endorsement of Arizona's top law enforcement organizations.As Attorney General, I will PROTECT Arizona and I will ALWAYS fight for you."
5,Kris Mayes,Attorney General,Democratic,Traditional Funding,View Info,www.krismayes.com,https://secure.actblue.com/donate/km-jan-d2d-gs?refcode=KM_GS_D2D_20220121_C&gclid=CjwKCAjwo8-SBhAlE,https://www.facebook.com/KrisMayesforAZ,https://twitter.com/krismayes,,https://bit.ly/TeamMayesYouTube,"Kris Mayes is one of Arizona’s strongest consumer advocates and an attorney who has distinguished herself as a fighter for families in a lifetime of public service. She served in statewide office as an Arizona Corporation Commissioner from 2003 - 2010. Since 2010, she has worked as a senior sustainability scientist at ASU’s School of Global Sustainability and teaches a course on energy law for the Sandra Day O’Connor College of Law. She was born and raised in Prescott, AZ.","I am running for Attorney General to be a lawyer for the PEOPLE. It’s long past time to take politics out of the Attorney General’s office and restore it to its core mission - protecting Arizonans. Some of my core issues include:- Tackling our fentanyl crisis &amp; stopping drugs at the border- Restoring the pillaged Consumer Fraud &amp; Protection fund- Protecting our water supplies- Prosecuting elder abuse- Ensuring women’s privacy is protected - including abortion and other reproductive rights- Protecting the sanctity of our elections &amp; right to vote- Holding the federal government accountable to secure our border- Fighting public/political corruption- Holding big corporations accountable Every day, I will walk into the AG's office ready to work and ready to fight for every person in this state I love. I will restore integrity and ethics to the Arizona Attorney General’s office, which has been sorely lacking for too many years. I will be accessible to the people in every county of our state, including across rural Arizona as well as Arizona's Tribal Nations. I will listen. I will take action. I will be YOUR lawyer. "
6,Paul Marsh,State Mine Inspector,Republican,Traditional Funding,View Info,https://marshformining.com,,,,,,,"Hello, my name is Paul Marsh, an Arizona native with over 25 years in the Construction and Mining Industry. I am the current Arizona State Mine Inspector who received an appointment in November 2021 upon Joe Harts Retirement. I know the value of hard work as I am a United States Marine Corps Veteran where I operated heavy equipment. This led me to my amazing mining career where I started as an equipment operator in 1994. I quickly moved up thru the ranks in the industry and began working in mine safety in 2003. I have been promoted and worked positions such as Director of Safety, as well as Operations Manager.  I earned my CMSP (Certified Mine Safety Professional) in 2015 and have a proven track record of keeping miners safe while successfully working with regulatory groups to improve overall safety in the mining industry.  I understand what it means to be a miner because I am a miner, who has worked alongside miners throughout my career. I have the knowledge, experience, and the leadership to be the State Mine Inspector, and I look forward to serving Arizona and the great men and women in the mining industry. -Paul"
7,Kimberly Yee,State Treasurer,Republican,Traditional Funding,View Info,https://kimberlyyee.com,https://tinyurl.com/y7oxruac,https://www.facebook.com/votekimberlyyee,https://twitter.com/KimberlyYeeAZ,,,"Treasurer Kimberly Yee was born and raised in Arizona. Her family started a grocery store business in the 1930's in South Phoenix that operated for over 60 years. In 2010, she was the first Asian American woman elected to the Arizona Legislature and second woman to serve as Senate Majority Leader. Financial education is a platform of Treasurer Yee, creating awareness of personal money management for students, senior citizens, veterans and families. Pepperdine University, B.A., ASU M.P.A.","Under Treasurer Kimberly Yee's proven statewide leadership, Arizona assets increased 96%, up $14.8 billion in 3.5 years, reaching historic records. The first Treasurer to visit all 15 counties during her first year in office, she has established strong partnerships in rural Arizona and increased transparency. Local government assets increased by 75.4% during Treasurer Yee's leadership. A longtime advocate of financial education, she created a law requiring high school students to complete a semester of personal money management before graduation. As the new Administrator of the AZ529 Education Savings Plan since October 2020, a record-setting 20,735 new savings accounts have been opened for families. Kimberly Yee is the first Chinese-American Republican woman elected to statewide office in United States history. She was the second female Senate Majority Leader since Sandra Day O’Connor in 1973. She was featured among Roll Call's 25 Most Influential Women in State Politics. Prior to elected office, she worked in the administrations of two governors and a state treasurer. Born and raised in Arizona, Kimberly comes from a family of small business owners. As a wife and mother, she and her family are active in their church and community. Education: Pepperdine University, B.A.; Arizona State University, M.P.A."
8,Martín Quezada,State Treasurer,Democratic,Traditional Funding,View Info,https://www.martinquezada.com,https://secure.actblue.com/donate/mq2022,https://www.facebook.com/SenQuezada29,https://twitter.com/senquezada29,https://www.linkedin.com/in/martinquezada/,https://www.youtube.com/channel/UCXE_0bqXzDxABm8tcvB1gMg?view_as=subscriber,"Senator Quezada was elected to the Pendergast School Board in 2010 and re-elected in 2014 &amp; 2018. He was appointed to the State House of Representatives in 2012 and elected to that seat later that year. In 2014, he was elected to the State Senate and re-elected in 2016, 2018, &amp; 2020.Quezada is now running to be the 1st Latino Treasurer in AZ history where he'll ensure that the management of AZ's taxpayer dollars reflect the values of the people we serve, rather than a few special interests. ","My name is Martín Quezada and I am your Democratic candidate for Arizona State Treasurer. As an Arizona native, I’m proud to have spent my entire career fighting for the shared values that uplift our communities. I have been a champion for progressive change as an attorney, a public School Board Member, and State Senator. In those roles, I’ve realized that if we ever expect to advance policies in our state that reflect our values, we must first have a solid foundation of the effective management, investment and protection of our taxpayer dollars.Our shared values of healthcare for all, strong public education, and affordable housing start with how we manage and invest our taxpayer dollars. We have an opportunity to re-invent this office and change it from an administrative stepping stone to higher office into an office that seeks out ways to better serve the public through improving financial literacy, solving our housing crisis, and making our money work for us to protect our planet. Together we can build a foundation that helps all of us prosper. To learn more and get involved in this campaign, visit MartinQuezada.com "
9,Kathy Hoffman,Superintendent of Public Instruction,Democratic,Participating,View Info,https://www.electkathyhoffman.com,,https://www.facebook.com/electkathyhoffman,https://twitter.com/kathyhoffman_az,,,,"Kathy Hoffman was elected in 2018, making her the first educator to lead the Arizona Department of Education in over 20 years. As a former teacher and speech therapist in special education, Superintendent Hoffman has fought for and leveraged funding to support students, teachers, and families. Leading schools through one of the most challenging periods in modern history, she continues to create an office that prioritizes our students’ academic achievement. During her first term, Superintendent Hoffman has focused on increasing funding for student mental health services, leading to a 20% reduction in Arizona's student-to-counselor ratio, investing in programs to recruit and retain qualified educators, supporting Arizona's multilingual learners, and elevating the voices of our state's phenomenal educators. Superintendent Hoffman has worked to bridge the digital divide in rural and urban communities, working with local and business leaders to provide students laptops and expand internet connectivity. Superintendent Hoffman is running for re-election to continue building strong, welcoming, and fully-funded schools where students thrive and all educators are respected and compensated fairly. As a new mom, she is dedicated to strengthening schools’ partnerships with families because we can all agree: Arizona’s future starts in our schools."
